IP地址,端口,IP段,大洲,国家,城市
139.162.133.162,58148,139.162.0.0/16,EU,DE,Frankfurt am Main
95.179.248.251,2052,95.179.128.0/17,EU,DE,Frankfurt am Main
185.103.100.101,443,185.103.100.0/22,EU,DE,Frankfurt am Main
78.47.75.170,10019,78.46.0.0/15,EU,DE,Falkenstein
89.168.83.143,8443,89.168.64.0/18,EU,DE,Frankfurt am Main
159.100.29.39,8081,159.100.28.0/22,EU,DE,N/A
109.120.177.110,2053,109.120.176.0/22,EU,DE,Frankfurt am Main
139.162.133.162,54591,139.162.0.0/16,EU,DE,Frankfurt am Main
31.24.253.107,8443,31.24.253.0/24,EU,DE,Limburg an der Lahn
66.151.43.150,2053,66.151.40.0/22,EU,DE,Frankfurt am Main
51.75.74.138,2053,51.75.0.0/16,EU,DE,N/A
77.105.146.35,2053,77.105.146.0/23,EU,DE,Frankfurt am Main
159.69.180.122,2053,159.69.0.0/16,EU,DE,Falkenstein
194.76.173.73,2053,194.76.173.0/24,EU,DE,Limburg an der Lahn
185.128.104.25,443,185.128.104.0/24,EU,DE,Frankfurt am Main
37.1.194.237,2053,37.1.192.0/21,EU,DE,N/A
5.187.3.169,443,5.187.0.0/21,EU,DE,Frankfurt am Main
88.198.18.246,8443,88.198.0.0/16,EU,DE,Falkenstein
46.101.158.60,443,46.101.0.0/16,EU,DE,Frankfurt am Main
64.226.114.20,443,64.226.64.0/18,EU,DE,Frankfurt am Main
5.61.32.232,433,5.61.32.0/20,EU,DE,N/A
194.76.173.194,2053,194.76.173.0/24,EU,DE,Limburg an der Lahn
91.107.157.253,33894,91.107.128.0/17,EU,DE,Nuremberg
31.172.77.15,443,31.172.77.0/24,EU,DE,Frankfurt am Main
5.75.133.147,8443,5.75.128.0/17,EU,DE,Nuremberg
3.66.115.225,443,3.64.0.0/12,EU,DE,Frankfurt am Main
194.76.173.100,2053,194.76.173.0/24,EU,DE,Limburg an der Lahn
